candidate,TP,SL,feePct,totalSignals,actualEntries,ignoredSignals,completedTrades,longEntries,shortEntries,tpHits,slHits,bailoutHits,openAtSessionEnd,winRate,avgHoldMs,medianHoldMs,maxHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt,startEqUsdt,endEqUsdt,maxDrawdownUsdt,tradesPerHour
A,0.2,0.1,0.00075,165,36,129,36,18,18,18,18,0,0,0.5,399587.0833333333,411965,515289,0.22819999999999338,0.79916235,-0.5709623500000066,3.488372093023256,2.9174097430232515,0.5709623500000043,144
A,0.2,0.1,0.0005,165,123,42,109,76,47,62,47,0,14,0.5688073394495413,282410.84403669724,286423,515289,1.0821999999999714,1.6136295000000007,-0.5314295000000293,3.488372093023256,2.9569425930232236,0.5314295000000322,436
A,0.2,0.15,0.001,165,22,143,22,11,11,11,11,0,0,0.5,432433.7272727273,461548,515289,0.10359999999999334,0.6512212000000001,-0.5476212000000067,3.488372093023256,2.940750893023248,0.5476212000000076,88
A,0.2,0.15,0.00075,165,34,131,34,18,16,18,16,0,0,0.5294117647058824,409242.0882352941,418558,515289,0.2127999999999915,0.7548282000000004,-0.542028200000009,3.488372093023256,2.9463438930232475,0.5420282000000083,136
A,0.2,0.15,0.0005,165,55,110,55,28,27,28,27,0,0,0.509090909090909,362993.8,368290,515289,0.2785999999999833,0.8139634999999998,-0.5353635000000165,3.488372093023256,2.9530085930232377,0.5353635000000181,220
A,0.2,0.2,0.001,165,20,145,20,11,9,11,9,0,0,0.55,488853.85,480825,546259,0.05739999999999554,0.5921202000000001,-0.5347202000000045,3.488372093023256,2.95365189302325,0.534720200000006,80
A,0.2,0.2,0.00075,165,24,141,24,12,12,12,12,0,0,0.5,480214.4583333333,475278,546259,-0.0070000000000055886,0.53290755,-0.5399075500000056,3.488372093023256,2.948464543023251,0.539907550000005,96
A,0.2,0.2,0.0005,165,36,129,36,18,18,18,18,0,0,0.5,453376.3611111111,462567,546259,-0.014000000000005203,0.5328960000000003,-0.5468960000000055,3.488372093023256,2.9414760930232475,0.5468960000000083,144
A,0.2,0.25,0.001,165,20,145,20,11,9,11,9,0,0,0.55,497258,488381,566959,0.009799999999993099,0.5921678000000001,-0.582367800000007,3.488372093023256,2.906004293023249,0.5823678000000068,80
A,0.2,0.25,0.00075,165,22,143,22,11,11,11,11,0,0,0.5,494487.86363636365,483770,566959,-0.0672000000000085,0.488544,-0.5557440000000085,3.488372093023256,2.9326280930232467,0.5557440000000091,88
