candidate,TP,SL,attemptedEntries,completedTrades,openAtSessionEnd,tpHits,slHits,winRate,avgHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt
B,0.25,0.15,96,56,40,37,19,0.6607142857142857,302406.83928571426,0.985600000000006,1.6583084,-0.6727083999999939
B,0.25,0.2,96,52,44,37,15,0.7115384615384616,342114.76923076925,0.9394000000000029,1.5397998,-0.600399799999997
B,0.25,0.25,96,52,44,37,15,0.7115384615384616,348787.5961538461,0.8399999999999996,1.5398992,-0.6998992000000004
B,0.25,0.3,96,52,44,37,15,0.7115384615384616,370881.92307692306,0.7363999999999944,1.5400028000000003,-0.803602800000006
B,0.25,0.5,96,37,59,37,0,1,346708.45945945947,1.415399999999999,1.0957506000000004,0.31964939999999875
B,0.25,0.75,96,37,59,37,0,1,346708.45945945947,1.415399999999999,1.0957506000000004,0.31964939999999875
B,0.25,1,96,37,59,37,0,1,346708.45945945947,1.415399999999999,1.0957506000000004,0.31964939999999875
B,0.25,1.5,96,37,59,37,0,1,346708.45945945947,1.415399999999999,1.0957506000000004,0.31964939999999875
B,0.3,0.08,96,66,30,34,32,0.5151515151515151,303221.24242424243,1.0541999999999945,1.9550958000000003,-0.9008958000000058
B,0.3,0.1,96,62,34,34,28,0.5483870967741935,315119.3548387097,1.0444000000000027,1.8365144000000007,-0.792114399999998
B,0.3,0.12,96,60,36,34,26,0.5666666666666667,324097.01666666666,1.0415999999999948,1.7772216000000003,-0.7356216000000055
B,0.3,0.15,96,53,43,34,19,0.6415094339622641,355411.0188679245,1.1102000000000034,1.5696142,-0.45941419999999655
B,0.3,0.2,96,49,47,34,15,0.6938775510204082,401876.9183673469,1.064,1.4511055999999998,-0.3871055999999997
B,0.3,0.25,96,49,47,34,15,0.6938775510204082,408958.28571428574,0.9645999999999966,1.4512049999999999,-0.4866050000000033
B,0.3,0.3,96,49,47,34,15,0.6938775510204082,432405.32653061225,0.8609999999999912,1.4513086000000002,-0.590308600000009
B,0.3,0.5,96,34,62,34,0,1,433241.5882352941,1.5399999999999967,1.0070564,0.5329435999999967
B,0.3,0.75,96,34,62,34,0,1,433241.5882352941,1.5399999999999967,1.0070564,0.5329435999999967
B,0.3,1,96,34,62,34,0,1,433241.5882352941,1.5399999999999967,1.0070564,0.5329435999999967
B,0.3,1.5,96,34,62,34,0,1,433241.5882352941,1.5399999999999967,1.0070564,0.5329435999999967
B,0.5,0.08,96,32,64,0,32,0,165074.625,-0.4858000000000041,0.9480394000000003,-1.4338394000000045
B,0.5,0.1,96,28,68,0,28,0,171685.2142857143,-0.4955999999999949,0.8294580000000001,-1.325057999999995
B,0.5,0.12,96,26,70,0,26,0,181369.5,-0.49840000000000223,0.7701652000000001,-1.2685652000000023
B,0.5,0.15,96,19,77,0,19,0,216135.26315789475,-0.42979999999999324,0.5625578,-0.9923577999999933
B,0.5,0.2,96,15,81,0,15,0,330783.6666666667,-0.47599999999999687,0.4440492000000001,-0.9200491999999969
B,0.5,0.25,96,15,81,0,15,0,353916.13333333336,-0.5754,0.4441486000000001,-1.0195486000000002
B,0.5,0.3,96,15,81,0,15,0,430509.8,-0.6790000000000055,0.4442522000000001,-1.1232522000000056
B,0.5,0.5,96,0,96,0,0,0,0,0,0,0
B,0.5,0.75,96,0,96,0,0,0,0,0,0,0
B,0.5,1,96,0,96,0,0,0,0,0,0,0
B,0.5,1.5,96,0,96,0,0,0,0,0,0,0
B,0.75,0.08,96,32,64,0,32,0,165074.625,-0.4858000000000041,0.9480394000000003,-1.4338394000000045
B,0.75,0.1,96,28,68,0,28,0,171685.2142857143,-0.4955999999999949,0.8294580000000001,-1.325057999999995
B,0.75,0.12,96,26,70,0,26,0,181369.5,-0.49840000000000223,0.7701652000000001,-1.2685652000000023
B,0.75,0.15,96,19,77,0,19,0,216135.26315789475,-0.42979999999999324,0.5625578,-0.9923577999999933
B,0.75,0.2,96,15,81,0,15,0,330783.6666666667,-0.47599999999999687,0.4440492000000001,-0.9200491999999969
B,0.75,0.25,96,15,81,0,15,0,353916.13333333336,-0.5754,0.4441486000000001,-1.0195486000000002
B,0.75,0.3,96,15,81,0,15,0,430509.8,-0.6790000000000055,0.4442522000000001,-1.1232522000000056
B,0.75,0.5,96,0,96,0,0,0,0,0,0,0
B,0.75,0.75,96,0,96,0,0,0,0,0,0,0
