candidate,TP,SL,fee_pct,signal_ts,direction,entry,exit_ts,exit_price,reason,hold_ms,gross_pnl,fees,net_pnl
D,0.3,0.15,0.001,1789737002128,LONG,105.61,1789737607864,105.94,TP,605736,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737004165,SHORT,105.59,1789737385210,105.75,SL,381045,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737008174,LONG,105.61,1789737607864,105.94,TP,599690,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737018795,SHORT,105.61,1789737388108,105.77,SL,369313,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737030479,LONG,105.62,1789737607864,105.94,TP,577385,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737032494,LONG,105.64,1789737668031,105.96,TP,635537,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737034008,LONG,105.64,1789737668031,105.96,TP,634023,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737057793,LONG,105.62,1789737607864,105.94,TP,550071,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737059319,LONG,105.63,1789737663466,105.95,TP,604147,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737062867,SHORT,105.62,1789737390622,105.78,SL,327755,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737071973,SHORT,105.61,1789737388108,105.77,SL,316135,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737076027,LONG,105.6,1789737578521,105.92,TP,502494,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737107395,SHORT,105.62,1789737390622,105.78,SL,283227,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737126637,LONG,105.61,1789737607864,105.94,TP,481227,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737169664,LONG,105.61,1789737607864,105.94,TP,438200,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737173194,LONG,105.59,1789737578521,105.92,TP,405327,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737184910,LONG,105.6,1789737578521,105.92,TP,393611,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737187440,LONG,105.59,1789737578521,105.92,TP,391081,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737193502,LONG,105.6,1789737578521,105.92,TP,385019,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737195007,SHORT,105.58,1789737385210,105.75,SL,190203,-0.0238,0.0296,-0.0534
D,0.3,0.15,0.001,1789737199279,LONG,105.61,1789737607864,105.94,TP,408585,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737206609,SHORT,105.62,1789737390622,105.78,SL,184013,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737208112,SHORT,105.61,1789737388108,105.77,SL,179996,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737209644,SHORT,105.61,1789737388108,105.77,SL,178464,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737219262,LONG,105.61,1789737607864,105.94,TP,388602,0.0462,0.0296,0.0166
