symbol,event,window,observations,mean_ret,median_ret,pos_pct,neg_pct,mfe,mae,baseline,diff,tp_hit,sl_hit,ambiguous,category
B-TIA_USDT,A_BULL_T1_0.55-0.65,60000,51,0.0002504568471754903,0.000303536196691422,0.5490196078431373,0.39215686274509803,0.0008419186893051726,0.0006569504150171079,0.00012003569071971624,0.0001304211564557741,16,14,0,B) WEAK
B-TIA_USDT,A_BULL_T1_0.55-0.65,180000,50,0.0007526766279143873,0.0006089206880803104,0.74,0.24,0.0017400726968500636,0.0008114628058470435,0.00034374153702016895,0.0004089350908942184,27,16,0,B) WEAK
B-TIA_USDT,B_BEAR_T1_>0.85,5000,85,0.0001247468693825493,0,0.4117647058823529,0.07058823529411765,0.0002871301298249501,0.00017670136389918268,-0.000020118075413262006,0.00014486494479581133,1,1,0,B) WEAK
B-TIA_USDT,B_BEAR_T1_>0.85,10000,85,0.00012290715200790226,0,0.4823529411764706,0.17647058823529413,0.00036201967850467317,0.00021949552075064418,-0.000012216844508974964,0.00013512399651687722,3,2,0,B) WEAK
B-TIA_USDT,B_BEAR_T1_>0.85,30000,84,0.0001397838436337208,0,0.47619047619047616,0.34523809523809523,0.0006076711410220338,0.00038017980128257005,-0.0000688772430582712,0.000208661086691992,16,8,0,B) WEAK
B-TIA_USDT,B_BEAR_T1_>0.85,60000,83,0.00004594226687343768,0,0.4578313253012048,0.40963855421686746,0.0007748622953216423,0.0005981525902813564,-0.00012003569071971624,0.00016597795759315393,25,17,0,B) WEAK
B-TIA_USDT,B_BEAR_T1_>0.85,180000,81,-0.00015741291979128004,-0.0003039051815833125,0.3333333333333333,0.5802469135802469,0.0012018260643198101,0.0013983639339095702,-0.00034374153702016895,0.0001863286172288889,37,38,0,B) WEAK
B-TIA_USDT,B_BEAR_T1_0.65-0.75,5000,36,0.000025033983923527037,0,0.2777777777777778,0.2777777777777778,0.00021067532918104428,0.00021922725807025574,-0.000020118075413262006,0.00004515205933678904,0,1,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.65-0.75,10000,35,0.000017157515664175167,0,0.2857142857142857,0.37142857142857144,0.0003116785425085363,0.0003118602578886207,-0.000012216844508974964,0.00002937436017315013,2,1,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.65-0.75,30000,35,-0.00015189128941618508,0,0.37142857142857144,0.45714285714285713,0.000454964566640276,0.0005899860488033028,-0.0000688772430582712,-0.00008301404635791389,5,8,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.65-0.75,60000,35,-0.00014380013488735836,0,0.45714285714285713,0.45714285714285713,0.0006737299207418283,0.0009355933102530357,-0.00012003569071971624,-0.000023764444167642118,10,14,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.65-0.75,180000,35,-0.0003568494792361672,-0.0009089531889108391,0.3142857142857143,0.6,0.0011790020484961756,0.0015512522092620982,-0.00034374153702016895,-0.000013107942215998252,16,17,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.55-0.65,5000,35,0.00005207737212080255,0,0.22857142857142856,0.11428571428571428,0.00022100223755873897,0.00018626252282732828,-0.000020118075413262006,0.00007219544753406456,1,0,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.55-0.65,10000,35,-0.000017213306610966176,0,0.2571428571428571,0.2571428571428571,0.0003249385507670947,0.00023826869284071942,-0.000012216844508974964,-0.0000049964621019912115,1,1,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.55-0.65,30000,35,0.000026028036542889705,0,0.37142857142857144,0.34285714285714286,0.0004634160860101216,0.0004114556381582252,-0.0000688772430582712,0.0000949052796011609,6,2,0,C) NO OBSERVED EDGE
