symbol,timestamp,bestBid,bestAsk,mid,spread,spreadPct,bidQty1,askQty1,bidQty5,askQty5,imbalance1,imbalance5
B-TIA_USDT,1789559374182,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,3516,2824,126942,60517,0.5545741324921135,0.6771720749603913
B-TIA_USDT,1789559376370,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,3636,368,135013,59858,0.9080919080919081,0.6928326944491484
B-TIA_USDT,1789559378614,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,1637,5028,83009,80314,0.24561140285071267,0.5082505219717982
B-TIA_USDT,1789559380803,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,1607,4900,77182,80186,0.24696480713078223,0.49045549285750595
B-TIA_USDT,1789559383032,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,1135,4870,82663,80156,0.18900915903413823,0.5076987329488574
B-TIA_USDT,1789559385228,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,9375,379,135783,57602,0.9611441459913882,0.7021382216821367
B-TIA_USDT,1789559387433,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,7007,2465,133392,60839,0.7397592905405406,0.6867698771050965
B-TIA_USDT,1789559389637,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,2821,2788,125572,62730,0.502941700837939,0.6668649297405232
B-TIA_USDT,1789559391817,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,2227,4477,129646,70500,0.33218973747016706,0.6477571372897785
B-TIA_USDT,1789559394009,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,2427,4604,129839,71590,0.3451856065993458,0.644589408675017
B-TIA_USDT,1789559396220,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,6962,574,133262,63239,0.9238322717622081,0.6781746657777823
B-TIA_USDT,1789559398416,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,7095,609,133392,60624,0.9209501557632399,0.6875309252845127
B-TIA_USDT,1789559400586,0.33,0.3301,0.33005,0.00009999999999998899,0.00030303030303026964,7360,609,133657,60624,0.9235788681139415,0.687957134253993
B-TIA_USDT,1789559402763,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,570,2531,92544,76684,0.1838116736536601,0.5468598577067625
B-TIA_USDT,1789559404962,0.3301,0.3302,0.33015,0.00009999999999998899,0.0003029385034837594,963,2483,92569,77046,0.279454439930354,0.5457595141939098
B-TIA_USDT,1789559407138,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,2360,1670,166243,45769,0.5856079404466501,0.7841207101484822
B-TIA_USDT,1789559409324,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,1804,3731,160440,47102,0.32592592592592595,0.7730483468406395
B-TIA_USDT,1789559411503,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,2216,1731,166054,45302,0.5614390676463137,0.7856602131001722
B-TIA_USDT,1789559413752,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,1982,1489,165780,45260,0.5710169979832901,0.785538286580743
B-TIA_USDT,1789559415941,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,8965,1275,170512,41897,0.87548828125,0.8027531790084225
B-TIA_USDT,1789559418112,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,9388,1275,176192,41821,0.8804276470036575,0.8081719897437308
B-TIA_USDT,1789559420289,0.3304,0.3305,0.33045,0.00009999999999998899,0.0003026634382566252,9388,1325,170979,42132,0.8763184915523197,0.8023002097498487
B-TIA_USDT,1789559422487,0.3306,0.3307,0.33065,0.00009999999999998899,0.0003024803387779461,2415,5414,98907,64961,0.30846851449738155,0.6035772695096053
B-TIA_USDT,1789559424702,0.3306,0.3307,0.33065,0.00009999999999998899,0.0003024803387779461,5338,686,111280,62681,0.8861221779548473,0.6396836072453022
B-TIA_USDT,1789559426906,0.3307,0.3308,0.33075,0.00009999999999998899,0.00030238887208947383,2034,5103,99531,52509,0.2849936948297604,0.6546369376479874
B-TIA_USDT,1789559429103,0.3307,0.3308,0.33075,0.00009999999999998899,0.00030238887208947383,4265,6705,121269,53240,0.3887876025524157,0.6949154484868976
B-TIA_USDT,1789559431289,0.3307,0.3308,0.33075,0.00009999999999998899,0.00030238887208947383,9972,1995,144139,43942,0.8332915517673603,0.7663666186377146
B-TIA_USDT,1789559433478,0.3308,0.3309,0.33085,0.0001000000000000445,0.00030229746070146464,3638,1564,99317,47364,0.6993464052287581,0.6770951929697779
B-TIA_USDT,1789559435812,0.3306,0.3307,0.33065,0.00009999999999998899,0.0003024803387779461,2218,5816,138748,57559,0.27607667413492654,0.7067908938550332
B-TIA_USDT,1789559438026,0.3306,0.3307,0.33065,0.00009999999999998899,0.0003024803387779461,2830,2972,138897,54808,0.4877628403998621,0.7170542835755401
B-TIA_USDT,1789559440225,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,1312,2675,176857,64459,0.3290694757963381,0.7328855111140579
B-TIA_USDT,1789559442387,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,4777,606,180591,62427,0.8874233698681033,0.7431177937436733
B-TIA_USDT,1789559444556,0.3306,0.3307,0.33065,0.00009999999999998899,0.0003024803387779461,720,7981,126916,69315,0.08274910929778187,0.6467683495472173
B-TIA_USDT,1789559446736,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,10801,406,197357,57767,0.9637726420986883,0.773572850848999
B-TIA_USDT,1789559448941,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,5337,2758,189261,68459,0.6592958616429895,0.7343667546174143
B-TIA_USDT,1789559451132,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,3175,2758,189248,69575,0.5351424237316703,0.7311869501551254
B-TIA_USDT,1789559453351,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,2779,2991,188852,69792,0.481629116117851,0.730161921405484
B-TIA_USDT,1789559455535,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,12323,303,209483,64861,0.9760019008395374,0.7635778438748433
B-TIA_USDT,1789559457724,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,10305,472,201089,63897,0.9562030249605642,0.7588665061550421
B-TIA_USDT,1789559459931,0.3305,0.3306,0.33055,0.00009999999999998899,0.00030257186081691066,10305,529,194631,63954,0.9511722355547351,0.7526770694355821
